average_reward,average_turns,env_id,episodes,invalid_move_rate,method,success_rate
0.17200430607928113,21.0,Bandit-v0,30,0.0,textgrad_rl_clipped_surrogate,0.0
0.38,5.0,Blackjack-v0,30,0.0,textgrad_rl_clipped_surrogate,0.0
0.0,19.0,ConnectFour-v0,60,0.0,textgrad_rl_clipped_surrogate,0.5
1.0,6.0,FrozenLake-v0,30,0.0,textgrad_rl_clipped_surrogate,1.0
1.0,3.9,GuessTheNumber-v0,30,0.0,textgrad_rl_clipped_surrogate,1.0
1.0,6.066666666666666,LightsOut-v0,30,0.0,textgrad_rl_clipped_surrogate,1.0
1.0,4.066666666666666,Mastermind-v0,30,0.0,textgrad_rl_clipped_surrogate,1.0
1.0,11.5,Nim-v0,60,0.0,textgrad_rl_clipped_surrogate,1.0
0.0,9.0,ReverseTicTacToe-v0,60,0.0,textgrad_rl_clipped_surrogate,0.0
1.0,7.0,TowerOfHanoi-v0,30,0.0,textgrad_rl_clipped_surrogate,1.0
0.17200430607928113,21.0,Bandit-v0,30,0.0,textgrad_rl_kl_gate,0.0
0.38,5.0,Blackjack-v0,30,0.0,textgrad_rl_kl_gate,0.0
0.0,19.0,ConnectFour-v0,60,0.0,textgrad_rl_kl_gate,0.5
1.0,6.0,FrozenLake-v0,30,0.0,textgrad_rl_kl_gate,1.0
1.0,3.9,GuessTheNumber-v0,30,0.0,textgrad_rl_kl_gate,1.0
1.0,6.066666666666666,LightsOut-v0,30,0.0,textgrad_rl_kl_gate,1.0
1.0,4.066666666666666,Mastermind-v0,30,0.0,textgrad_rl_kl_gate,1.0
1.0,11.5,Nim-v0,60,0.0,textgrad_rl_kl_gate,1.0
0.0,9.0,ReverseTicTacToe-v0,60,0.0,textgrad_rl_kl_gate,0.0
1.0,7.0,TowerOfHanoi-v0,30,0.0,textgrad_rl_kl_gate,1.0
0.17200430607928113,21.0,Bandit-v0,30,0.0,textgrad_rl_no_gate,0.0
0.21333333333333335,7.0,Blackjack-v0,30,0.0,textgrad_rl_no_gate,0.0
0.0,19.0,ConnectFour-v0,60,0.0,textgrad_rl_no_gate,0.5
1.0,6.0,FrozenLake-v0,30,0.0,textgrad_rl_no_gate,1.0
1.0,3.9,GuessTheNumber-v0,30,0.0,textgrad_rl_no_gate,1.0
1.0,6.066666666666666,LightsOut-v0,30,0.0,textgrad_rl_no_gate,1.0
1.0,4.066666666666666,Mastermind-v0,30,0.0,textgrad_rl_no_gate,1.0
1.0,11.5,Nim-v0,60,0.0,textgrad_rl_no_gate,1.0
0.0,9.0,ReverseTicTacToe-v0,60,0.0,textgrad_rl_no_gate,0.0
1.0,7.0,TowerOfHanoi-v0,30,0.0,textgrad_rl_no_gate,1.0
0.1993018255593172,21.0,Bandit-v0,30,0.0,textgrad_rl_ppo,0.0
0.38,5.0,Blackjack-v0,30,0.0,textgrad_rl_ppo,0.0
0.0,19.0,ConnectFour-v0,60,0.0,textgrad_rl_ppo,0.5
1.0,6.0,FrozenLake-v0,30,0.0,textgrad_rl_ppo,1.0
1.0,3.9,GuessTheNumber-v0,30,0.0,textgrad_rl_ppo,1.0
1.0,6.066666666666666,LightsOut-v0,30,0.0,textgrad_rl_ppo,1.0
1.0,4.066666666666666,Mastermind-v0,30,0.0,textgrad_rl_ppo,1.0
1.0,11.5,Nim-v0,60,0.0,textgrad_rl_ppo,1.0
0.0,9.0,ReverseTicTacToe-v0,60,0.0,textgrad_rl_ppo,0.0
1.0,7.0,TowerOfHanoi-v0,30,0.0,textgrad_rl_ppo,1.0
0.1993018255593172,21.0,Bandit-v0,30,0.0,textgrad_rl_train_val,0.0
0.38,5.0,Blackjack-v0,30,0.0,textgrad_rl_train_val,0.0
0.0,19.0,ConnectFour-v0,60,0.0,textgrad_rl_train_val,0.5
1.0,6.0,FrozenLake-v0,30,0.0,textgrad_rl_train_val,1.0
1.0,3.9,GuessTheNumber-v0,30,0.0,textgrad_rl_train_val,1.0
1.0,6.066666666666666,LightsOut-v0,30,0.0,textgrad_rl_train_val,1.0
1.0,4.066666666666666,Mastermind-v0,30,0.0,textgrad_rl_train_val,1.0
1.0,11.5,Nim-v0,60,0.0,textgrad_rl_train_val,1.0
0.0,9.0,ReverseTicTacToe-v0,60,0.0,textgrad_rl_train_val,0.0
1.0,7.0,TowerOfHanoi-v0,30,0.0,textgrad_rl_train_val,1.0
