average_reward,average_score,average_turns,env_id,episodes,invalid_move_rate,method,success_rate,suite,truncation_rate
0.22000000000000003,-0.30100000000000005,4.2,Wordle-v0,5,1.0,textgrad_rl_no_gate_slm,0.0,puzzle,0.0
0.08,-0.43499999999999994,3.0,Hangman-v0,5,1.0,textgrad_rl_no_gate_slm,0.0,puzzle,0.0
0.05714285714285714,-0.46185714285714285,3.8,Minesweeper-v0-small,5,1.0,textgrad_rl_no_gate_slm,0.0,puzzle,0.0
0.0,-0.51,2.0,Sudoku-v0-very-easy,5,1.0,textgrad_rl_no_gate_slm,0.0,puzzle,0.0
0.3,-0.21900000000000003,3.8,Wordle-v0,5,1.0,textgrad_rl_train_val_slm,0.0,puzzle,0.0
0.08,-0.434,2.8,Hangman-v0,5,1.0,textgrad_rl_train_val_slm,0.0,puzzle,0.0
0.05714285714285714,-0.46185714285714285,3.8,Minesweeper-v0-small,5,1.0,textgrad_rl_train_val_slm,0.0,puzzle,0.0
0.0,-0.51,2.0,Sudoku-v0-very-easy,5,1.0,textgrad_rl_train_val_slm,0.0,puzzle,0.0
0.27999999999999997,-0.23700000000000002,3.4,Wordle-v0,5,1.0,textgrad_rl_kl_gate_slm,0.0,puzzle,0.0
0.08,-0.434,2.8,Hangman-v0,5,1.0,textgrad_rl_kl_gate_slm,0.0,puzzle,0.0
0.02857142857142857,-0.48842857142857143,3.4,Minesweeper-v0-small,5,1.0,textgrad_rl_kl_gate_slm,0.0,puzzle,0.0
0.0,-0.51,2.0,Sudoku-v0-very-easy,5,1.0,textgrad_rl_kl_gate_slm,0.0,puzzle,0.0
0.24,-0.18300000000000002,4.6,Wordle-v0,5,0.8,textgrad_rl_clipped_surrogate_slm,0.0,puzzle,0.0
0.04,-0.47300000000000003,2.6,Hangman-v0,5,1.0,textgrad_rl_clipped_surrogate_slm,0.0,puzzle,0.0
0.01818181818181818,-0.4988181818181818,3.4,Minesweeper-v0-small,5,1.0,textgrad_rl_clipped_surrogate_slm,0.0,puzzle,0.0
0.0,-0.51,2.0,Sudoku-v0-very-easy,5,1.0,textgrad_rl_clipped_surrogate_slm,0.0,puzzle,0.0
0.38,-0.14400000000000002,4.8,Wordle-v0,5,1.0,textgrad_rl_ppo_slm,0.0,puzzle,0.0
0.08,-0.43499999999999994,3.0,Hangman-v0,5,1.0,textgrad_rl_ppo_slm,0.0,puzzle,0.0
0.05714285714285714,-0.45985714285714285,3.4,Minesweeper-v0-small,5,1.0,textgrad_rl_ppo_slm,0.0,puzzle,0.0
0.0,-0.51,2.0,Sudoku-v0-very-easy,5,1.0,textgrad_rl_ppo_slm,0.0,puzzle,0.0
