average_reward,average_score,average_turns,env_id,episodes,invalid_move_rate,method,success_rate,suite,truncation_rate
0.3894736842105263,-0.004526315789473658,8.8,GuessTheNumber-v0,5,0.6,textgrad_rl_no_gate_slm,0.0,real_slm,0.2
0.4666666666666667,0.24866666666666665,3.6,FrozenLake-v0,5,0.4,textgrad_rl_no_gate_slm,0.0,real_slm,0.0
0.28,0.158,4.4,Blackjack-v0,5,0.2,textgrad_rl_no_gate_slm,0.0,real_slm,0.0
-1.0,-1.514,2.8,Nim-v0,5,1.0,textgrad_rl_no_gate_slm,0.0,real_slm,0.0
0.0,-0.31,12.0,Mastermind-v0,5,0.0,textgrad_rl_no_gate_slm,0.0,real_slm,1.0
1.0,1.473,5.4,GuessTheNumber-v0,5,0.0,textgrad_rl_train_val_slm,1.0,real_slm,0.0
0.4666666666666667,0.24866666666666665,3.6,FrozenLake-v0,5,0.4,textgrad_rl_train_val_slm,0.0,real_slm,0.0
0.4,0.375,5.0,Blackjack-v0,5,0.0,textgrad_rl_train_val_slm,0.0,real_slm,0.0
0.2,0.271,5.8,Nim-v0,5,0.4,textgrad_rl_train_val_slm,0.6,real_slm,0.0
0.0,-0.31,12.0,Mastermind-v0,5,0.0,textgrad_rl_train_val_slm,0.0,real_slm,1.0
0.8,1.1179999999999999,6.4,GuessTheNumber-v0,5,0.0,textgrad_rl_kl_gate_slm,0.8,real_slm,0.2
0.4666666666666667,0.24866666666666665,3.6,FrozenLake-v0,5,0.4,textgrad_rl_kl_gate_slm,0.0,real_slm,0.0
0.4,0.375,5.0,Blackjack-v0,5,0.0,textgrad_rl_kl_gate_slm,0.0,real_slm,0.0
0.2,0.278,4.4,Nim-v0,5,0.4,textgrad_rl_kl_gate_slm,0.6,real_slm,0.0
0.0,-0.31,12.0,Mastermind-v0,5,0.0,textgrad_rl_kl_gate_slm,0.0,real_slm,1.0
0.6842105263157895,0.7982105263157895,7.2,GuessTheNumber-v0,5,0.2,textgrad_rl_clipped_surrogate_slm,0.6,real_slm,0.2
0.4666666666666667,0.24866666666666665,3.6,FrozenLake-v0,5,0.4,textgrad_rl_clipped_surrogate_slm,0.0,real_slm,0.0
0.4,0.375,5.0,Blackjack-v0,5,0.0,textgrad_rl_clipped_surrogate_slm,0.0,real_slm,0.0
-0.2,-0.31799999999999995,3.6,Nim-v0,5,0.6,textgrad_rl_clipped_surrogate_slm,0.4,real_slm,0.0
0.175,-0.23399999999999999,11.8,Mastermind-v0,5,0.4,textgrad_rl_clipped_surrogate_slm,0.0,real_slm,0.6
0.7052631578947368,0.9152631578947368,8.0,GuessTheNumber-v0,5,0.0,textgrad_rl_ppo_slm,0.6,real_slm,0.2
0.4666666666666667,0.24866666666666665,3.6,FrozenLake-v0,5,0.4,textgrad_rl_ppo_slm,0.0,real_slm,0.0
0.4,0.375,5.0,Blackjack-v0,5,0.0,textgrad_rl_ppo_slm,0.0,real_slm,0.0
-0.6,-0.925,5.0,Nim-v0,5,0.8,textgrad_rl_ppo_slm,0.2,real_slm,0.0
0.0,-0.31,12.0,Mastermind-v0,5,0.0,textgrad_rl_ppo_slm,0.0,real_slm,1.0
